pl_name,hostname,pl_orbper,pl_rade,pl_bmasse,pl_eqt,st_teff,st_rad,sy_dist
Kepler-227 b,K00752.01,9.48803557,2.26,,793.0,5455.0,0.927,
Kepler-227 c,K00752.02,54.4183827,2.83,,443.0,5455.0,0.927,
K00753.01,K00753.01,19.89913995,14.6,,638.0,5853.0,0.868,
K00754.01,K00754.01,1.736952453,33.46,,1395.0,5805.0,0.791,
Kepler-664 b,K00755.01,2.525591777,2.75,,1406.0,6031.0,1.046,
Kepler-228 d,K00756.01,11.09432054,3.9,,835.0,6046.0,0.972,
Kepler-228 c,K00756.02,4.13443512,2.77,,1160.0,6046.0,0.972,
Kepler-228 b,K00756.03,2.56658897,1.59,,1360.0,6046.0,0.972,
K00114.01,K00114.01,7.36178958,39.21,,1342.0,6227.0,1.958,
Kepler-229 c,K00757.01,16.06864674,5.76,,600.0,5031.0,0.848,
Kepler-1 b,K00001.01,2.470613377,13.04,,1339.0,5820.0,0.964,
Kepler-2 b,K00002.01,2.204735417,16.1,,2048.0,6440.0,1.952,
Kepler-8 b,K00010.01,3.522498429,14.59,,1521.0,6225.0,1.451,
Kepler-466 c,K00112.02,3.709214104,1.16,,1206.0,5833.0,1.022,
K00742.01,K00742.01,11.521446064,150.51,,753.0,5795.0,0.848,
K00743.01,K00743.01,19.40393776,7.18,,523.0,5043.0,0.68,
K00744.01,K00744.01,19.221388942,49.29,,698.0,6117.0,0.947,
K00745.01,K00745.01,16.46983774,7.94,,595.0,5152.0,0.786,
Kepler-660 b,K00746.01,9.27358173,2.47,,649.0,4856.0,0.696,
Kepler-661 b,K00747.01,6.02930329,2.85,,678.0,4537.0,0.672,
K00748.01,K00748.01,2.696370652,1.58,,1066.0,4989.0,0.819,
Kepler-226 c,K00749.01,5.349553819,2.55,,919.0,5185.0,0.91,
Kepler-226 b,K00749.02,3.94105221,1.7,,1018.0,5185.0,0.91,
Kepler-226 d,K00749.03,8.10904807,1.3,,800.0,5185.0,0.91,
K00113.01,K00113.01,386.6030528,41.5,,297.0,5543.0,1.58,
Kepler-662 b,K00750.01,21.67699193,2.95,,530.0,4954.0,0.828,
Kepler-663 b,K00751.01,4.99677968,2.78,,917.0,5339.0,0.847,
Kepler-671 b,K00769.01,4.280963604,2.3,,1012.0,5644.0,0.831,
K00770.01,K00770.01,1.50635409,4.53,,1452.0,5714.0,0.831,
K00771.01,K00771.01,670.645531,14.14,,196.0,5520.0,0.983,
K00772.01,K00772.01,61.2563628,39.87,,505.0,6144.0,1.091,
Kepler-672 b,K00773.01,38.3775486,2.82,,529.0,5481.0,1.036,
Kepler-229 d,K00757.02,41.19725502,3.86,,439.0,5031.0,0.848,
Kepler-229 b,K00757.03,6.252962249,2.65,,823.0,5031.0,0.848,
Kepler-665 b,K00758.01,16.01308419,3.1,,593.0,5015.0,0.826,
Kepler-230 b,K00759.01,32.62876672,3.36,,506.0,5586.0,0.798,
Kepler-230 c,K00759.02,91.7732862,2.12,,359.0,5586.0,0.798,
Kepler-1976 b,K00760.01,4.959319244,12.21,,1103.0,5712.0,1.082,
K00761.01,K00761.01,2.701287801,6.54,,1222.0,5550.0,0.91,
Kepler-666 b,K00762.01,4.49876511,2.1,,1133.0,6075.0,0.969,
K00763.01,K00763.01,19.651209505,12.42,,730.0,6074.0,1.063,
Kepler-105 b,K00115.01,5.412203927,2.94,,1093.0,5779.0,1.087,
Kepler-667 b,K00764.01,41.43958662,5.5,,516.0,5468.0,1.046,
Kepler-668 b,K00765.01,8.35389523,2.52,,790.0,5592.0,0.787,
Kepler-669 b,K00766.01,4.125543472,4.43,,1243.0,6174.0,1.103,
Kepler-670 b,K00767.01,2.816504904,12.21,,1219.0,5532.0,0.955,
K00768.01,K00768.01,33.93373447,7.34,,430.0,5040.0,0.705,
Kepler-680 b,K00786.01,3.689920099,1.89,,1147.0,5880.0,0.917,
Kepler-232 b,K00787.01,4.431238488,3.25,,1104.0,5714.0,1.015,
Kepler-232 c,K00787.02,11.37936986,3.95,,806.0,5714.0,1.015,
Kepler-681 b,K00788.01,26.39432897,3.07,,489.0,5129.0,0.763,
Kepler-106 c,K00116.01,13.57078281,2.64,,785.0,5854.0,1.012,
Kepler-105 c,K00115.02,7.12594387,1.79,,997.0,5779.0,1.087,
K00774.01,K00774.01,7.442652004,15.03,,967.0,6108.0,0.956,
Kepler-52 c,K00775.01,16.38489988,2.0,,433.0,4126.0,0.615,
Kepler-52 b,K00775.02,7.8774163,2.16,,553.0,4126.0,0.615,
Kepler-52 d,K00775.03,36.4454001,1.99,,332.0,4126.0,0.615,
Kepler-673 b,K00776.01,3.728732147,6.02,,1023.0,5497.0,0.809,
K00777.01,K00777.01,40.4195037,7.51,,467.0,5446.0,0.781,
Kepler-674 b,K00778.01,2.243380573,1.99,,822.0,4149.0,0.564,
K00779.01,K00779.01,10.405998015,11.23,,833.0,5746.0,0.924,
Kepler-675 b,K00780.01,2.337437946,2.34,,1070.0,5005.0,0.765,
K00780.02,K00780.02,7.2406612,19.45,,734.0,5005.0,0.765,
K00115.03,K00115.03,3.43591631,0.55,,1272.0,5779.0,1.087,
Kepler-676 b,K00781.01,11.59822233,2.65,,396.0,3688.0,0.473,
Kepler-677 b,K00782.01,6.575315881,5.31,,1015.0,5992.0,0.989,
Kepler-678 b,K00783.01,7.275040844,4.86,,833.0,5485.0,0.867,
Kepler-231 c,K00784.01,19.27153892,1.93,,393.0,4077.0,0.56,
Kepler-231 b,K00784.02,10.06524317,1.91,,488.0,4077.0,0.56,
Kepler-679 b,K00785.01,12.3935651,2.66,,677.0,5557.0,0.75,
Kepler-106 e,K00116.02,43.84439721,2.87,,531.0,5854.0,1.012,
K00798.01,K00798.01,3.341913228,21.55,,1032.0,5295.0,0.811,
K00799.01,K00799.01,1.626630225,32.43,,1547.0,5735.0,0.973,
Kepler-234 b,K00800.01,2.711504086,3.12,,1420.0,6214.0,1.076,
Kepler-234 c,K00800.02,7.21203748,3.32,,1025.0,6214.0,1.076,
K00789.01,K00789.01,14.1798187,1.88,,711.0,5799.0,0.878,
Kepler-233 b,K00790.01,8.47237911,2.59,,751.0,5354.0,0.788,
Kepler-233 c,K00790.02,60.4189369,2.36,,390.0,5354.0,0.788,
Kepler-682 b,K00791.01,12.611904345,7.4,,753.0,5795.0,0.919,
K00792.01,K00792.01,1.433769925,46.58,,1920.0,6017.0,1.339,
K00793.01,K00793.01,10.31872301,28.59,,876.0,5927.0,1.06,
Kepler-683 b,K00794.01,2.539183147,2.06,,1332.0,5519.0,1.062,
Kepler-684 b,K00795.01,6.770300385,2.77,,812.0,5653.0,0.679,
K00796.01,K00796.01,0.444291966,27.51,,1836.0,5255.0,0.636,
K00797.01,K00797.01,10.181584004,7.73,,812.0,5988.0,0.836,
Kepler-235 d,K00812.02,20.06036336,1.96,,361.0,3950.0,0.493,
Kepler-235 e,K00812.03,46.1842039,1.83,,273.0,3950.0,0.493,
Kepler-106 d,K00116.04,23.9800854,1.31,,649.0,5854.0,1.012,
Kepler-235 c,K00812.04,7.82502168,1.2,,494.0,3950.0,0.493,
Kepler-688 b,K00813.01,3.895936525,7.34,,1005.0,5557.0,0.774,
Kepler-689 b,K00814.01,22.36646466,2.32,,536.0,5395.0,0.734,
Kepler-685 b,K00801.01,1.625522174,9.73,,1579.0,5539.0,1.106,
K00802.01,K00802.01,19.620346923,13.6,,643.0,5710.0,0.905,
K00803.01,K00803.01,7.544039,17.47,,838.0,5657.0,0.824,
Kepler-1727 b,K00804.01,9.02930689,2.57,,757.0,5349.0,0.82,
K00805.01,K00805.01,10.328035714,13.28,,843.0,5627.0,1.024,
Kepler-30 d,K00806.01,143.2063047,8.9,,308.0,5485.0,0.867,
Kepler-106 b,K00116.03,6.164876,0.79,,1021.0,5854.0,1.012,
Kepler-30 c,K00806.02,60.32494216,12.19,,411.0,5485.0,0.867,
Kepler-30 b,K00806.03,29.1598615,1.91,,524.0,5485.0,0.867,
K00807.01,K00807.01,1.540397253,25.69,,1470.0,5663.0,0.915,
K00808.01,K00808.01,2.99025443,1.7,,918.0,4667.0,0.731,
Kepler-686 b,K00809.01,1.594745374,11.3,,1539.0,5934.0,0.893,
