pl_name,hostname,pl_orbper,pl_rade,pl_bmasse,pl_eqt,ra,dec,st_teff,st_rad,st_mass,sy_dist,disc_year,discoverymethod
Kepler-227 b,K00752.01,9.48803557,2.26,,793.0,291.93423,48.141651,5455.0,0.927,,,,
Kepler-227 c,K00752.02,54.4183827,2.83,,443.0,291.93423,48.141651,5455.0,0.927,,,,
K00753.01,K00753.01,19.89913995,14.6,,638.0,297.00482,48.134129,5853.0,0.868,,,,
K00754.01,K00754.01,1.736952453,33.46,,1395.0,285.53461,48.28521,5805.0,0.791,,,,
Kepler-664 b,K00755.01,2.525591777,2.75,,1406.0,288.75488,48.2262,6031.0,1.046,,,,
Kepler-228 d,K00756.01,11.09432054,3.9,,835.0,296.28613,48.22467,6046.0,0.972,,,,
Kepler-228 c,K00756.02,4.13443512,2.77,,1160.0,296.28613,48.22467,6046.0,0.972,,,,
Kepler-228 b,K00756.03,2.56658897,1.59,,1360.0,296.28613,48.22467,6046.0,0.972,,,,
K00114.01,K00114.01,7.36178958,39.21,,1342.0,298.86435,42.151569,6227.0,1.958,,,,
Kepler-229 c,K00757.01,16.06864674,5.76,,600.0,286.99948,48.37579,5031.0,0.848,,,,
Kepler-1 b,K00001.01,2.470613377,13.04,,1339.0,286.80847,49.316399,5820.0,0.964,,,,
Kepler-2 b,K00002.01,2.204735417,16.1,,2048.0,292.24728,47.969521,6440.0,1.952,,,,
Kepler-8 b,K00010.01,3.522498429,14.59,,1521.0,281.28812,42.45108,6225.0,1.451,,,,
Kepler-466 c,K00112.02,3.709214104,1.16,,1206.0,295.64871,48.49556,5833.0,1.022,,,,
K00742.01,K00742.01,11.521446064,150.51,,753.0,297.07993,47.597401,5795.0,0.848,,,,
K00743.01,K00743.01,19.40393776,7.18,,523.0,289.25821,47.635319,5043.0,0.68,,,,
K00744.01,K00744.01,19.221388942,49.29,,698.0,295.81454,47.69035,6117.0,0.947,,,,
K00745.01,K00745.01,16.46983774,7.94,,595.0,297.15442,47.668701,5152.0,0.786,,,,
Kepler-660 b,K00746.01,9.27358173,2.47,,649.0,288.13824,47.724449,4856.0,0.696,,,,
Kepler-661 b,K00747.01,6.02930329,2.85,,678.0,283.71088,47.86327,4537.0,0.672,,,,
K00748.01,K00748.01,2.696370652,1.58,,1066.0,283.76547,47.804298,4989.0,0.819,,,,
Kepler-226 c,K00749.01,5.349553819,2.55,,919.0,292.37613,47.880989,5185.0,0.91,,,,
Kepler-226 b,K00749.02,3.94105221,1.7,,1018.0,292.37613,47.880989,5185.0,0.91,,,,
Kepler-226 d,K00749.03,8.10904807,1.3,,800.0,292.37613,47.880989,5185.0,0.91,,,,
K00113.01,K00113.01,386.6030528,41.5,,297.0,292.27374,37.671558,5543.0,1.58,,,,
Kepler-662 b,K00750.01,21.67699193,2.95,,530.0,290.46512,47.92918,4954.0,0.828,,,,
Kepler-663 b,K00751.01,4.99677968,2.78,,917.0,297.80826,47.946671,5339.0,0.847,,,,
Kepler-671 b,K00769.01,4.280963604,2.3,,1012.0,294.26581,49.314091,5644.0,0.831,,,,
