ra,dec,sy_dist,pl_name,hostname,pl_eqt,pl_rade,pl_bmasse,pl_orbper,st_teff,st_mass,st_rad,discoverymethod,disc_year,pl_insol,pl_orbeccen
291.93423,48.141651,,,,,,,,,,,,,,
19.1306968,-0.290103,159.676,EPIC 220192485.01,EPIC 220192485,,8.85,,50.69369,,,0.781,Transit,2018.0,,
19.3047733,9.5012663,69.4798,K2-151 b,K2-151,,1.5,,3.835376,,,0.45,Transit,2018.0,,
329.7262534,-10.8750666,185.55,K2-369 b,K2-369,,1.37,,5.7619248,5350.0,,0.83,Transit,2022.0,,
73.7667927,18.654323,130.72,K2-232 b,K2-232,1001.0,11.859122,123.00021,11.168459,5888.0,1.039,1.233,Transit,2018.0,,0.255
130.6641653,19.4143598,185.731,EPIC 211946007.01,EPIC 211946007,,,,1.982809,3330.0,,0.291,Transit,2017.0,,
129.2823699,20.3992512,228.327,K2-274 b,K2-274,,2.41,,14.130142,,,0.794,Transit,2018.0,,
13.1943679,9.6929181,402.915,K2-283 b,K2-283,,3.8,,1.921076,,,0.86,Transit,2018.0,,
288.0267612,-21.0075789,145.701,K2-381 b,K2-381,,1.08322371,,7.939256,4661.0,,0.645652,Transit,2022.0,,
288.0267612,-21.0075789,145.701,K2-381 c,K2-381,,2.0,,16.034656,4473.0,0.754,0.675,Transit,2022.0,,
202.0161895,-15.9379749,113.123,K2-277 b,K2-277,,,,6.3297696,5673.0,1.008,0.975383,Transit,2018.0,,
335.025662,-9.0560881,269.183,K2-73 b,K2-73,,2.45,,7.49543,5922.0,1.05,1.06,Transit,2016.0,213.0,
59.464829,18.4649505,97.2179,K2-85 b,K2-85,,1.37,,0.684557,4376.21,0.69834,0.675849,Transit,2016.0,1069.1,0.24
55.2559307,13.5191871,256.011,K2-79 b,K2-79,,3.14685573,,10.993948,5839.0,1.06195,1.038427,Transit,2016.0,,
126.4882114,11.5110933,518.625,K2-98 b,K2-98,,,,10.136,6283.0,1.23,1.50696,Transit,2016.0,,
126.4643579,10.246577,203.896,K2-180 b,K2-180,,4.4,,8.867259,,,0.65,Transit,2018.0,,
126.6158279,10.0803708,106.289,HIP 41378 b,HIP 41378,,2.9,,15.5712,6199.0,1.15,1.4,Transit,2016.0,,
126.6158279,10.0803708,106.289,HIP 41378 c,HIP 41378,,2.56,,31.6978,6199.0,1.15,1.4,Transit,2016.0,,
342.3858995,-10.6754686,294.001,WASP-75 b,WASP-75,,,,2.4841976,6100.0,1.14,1.26,Transit,2013.0,,
123.3818484,16.419516,477.295,K2-108 b,K2-108,,,,4.73360988,5496.0,0.964,1.75896,Transit,2017.0,,
126.9366624,17.5793267,169.398,K2-121 b,K2-121,,,,5.186,4664.8,0.74,0.649127,Transit,2017.0,,
136.5741931,19.4020565,181.69,EPIC 211945201 b,EPIC 211945201,,6.0,,19.492132,,,1.48,Transit,2018.0,,
127.5787231,22.2359194,348.646,K2-34 b,K2-34,1559.0,13.96,,2.995633,6071.0,1.15,1.44,Transit,2016.0,,
67.4128615,22.8825674,59.2474,K2-136 d,K2-136,373.0,1.45,,25.575065,4499.0,0.74,0.66,Transit,2017.0,,0.14
129.6010863,20.1060074,188.959,K2-100 b,K2-100,,,,1.674,6115.49,1.153,1.21742,Transit,2016.0,,
338.4759328,-10.0849917,232.964,K2-70 b,K2-70,,2.69,,13.9782,,,0.783,Transit,2016.0,,
133.8382032,16.7940663,239.289,K2-336 b,K2-336,,1.33,,21.1976,,,0.7747,Transit,2021.0,,
334.0195539,-10.5673649,168.652,K2-68 b,K2-68,,1.73,,8.05423,,,0.655,Transit,2016.0,,
134.4441404,21.4532748,161.555,K2-123 b,K2-123,,,,30.953,3856.0,0.595401,0.609039,Transit,2017.0,,
169.3034598,-1.8778254,202.943,K2-5 c,K2-5,511.0,1.92,,10.93406,4102.0,0.53,0.52,Transit,2015.0,,
128.3219134,13.6613758,355.54,EPIC 211537087.03,K2-356,82.0,2.28,,41.9,5568.0,0.9,0.86,Transit,2022.0,,
18.2999964,7.0130302,428.785,K2-386 b,K2-386,,2.74,,7.47331,,,1.012,Transit,2022.0,,
232.4461375,-17.557463,147.866,K2-318 b,K2-318,456.0,1.66,,7.01,3851.0,0.561,0.552,Transit,2020.0,,
253.7688479,-28.7105836,314.995,K2-237 b,K2-237,1759.0,16.06246934,434.15360396,2.18053332,6180.0,1.256,1.236,Transit,2018.0,,0.03
130.5013137,20.3593003,696.1,K2-375 b,K2-375,,,,14.443,5826.08,1.05,1.54893,Transit,2022.0,,
170.1031027,1.2858679,252.596,K2-35 c,K2-35,,1.69,,5.60906,4426.0,0.663,0.601,Transit,2016.0,42.0,
13.0800239,10.7947051,244.59,EPIC 220674823 c,EPIC 220674823,,2.8,,13.338687,,,0.97,Transit,2016.0,,
335.057616,-13.1147717,282.602,EPIC 206061524.01,EPIC 206061524,,6.5,,5.8796123,4089.0,,0.62,Transit,2016.0,,
338.3682095,-9.0229405,307.47,K2-39 b,K2-39,,1.67,,4.6049829,4843.0,,0.74,Transit,2016.0,,
290.8101704,-20.1663771,638.7,HATS-9 b,HATS-9,1823.0,11.937585,266.02371,1.9153073,5366.0,1.03,1.503,Transit,2015.0,,0.129
289.4007603,-22.3900092,944.603,HATS-11 b,HATS-11,,10.2,,3.619192,,,0.89,Transit,2016.0,,
289.202402,-19.3559227,746.138,HATS-12 b,HATS-12,,7.8,,3.14272,,,1.22,Transit,2016.0,,
289.3917955,-16.8717267,305.038,EPIC 219388192.01,EPIC 219388192,,9.6,,5.29266,,,1.0,Transit,2018.0,,
285.4688322,-18.4681649,299.538,EPIC 218621322.01,EPIC 218621322,,21.9,,11.587502,,,1.0,Transit,2018.0,,
291.4787013,-23.2028183,856.436,HATS-36 b,HATS-36,,13.4,,4.175187,,,1.15,Transit,2018.0,,
280.8765309,-25.4110574,512.891,EPIC 214888033.01,EPIC 214888033,,8.7,,7.457597,,,1.037,Transit,2019.0,,
295.157014,-22.7217407,996.938,EPIC 216231580.01,EPIC 216231580,,16.3,,3.90518,,,1.282,Transit,2019.0,,
351.1353785,-5.1641451,233.237,K2-329 b,K2-329,650.0,8.675766,82.6358,12.4551225,5282.0,0.901,0.822,Transit,2020.0,45.7,0.0697
158.0734448,2.2378452,515.491,K2-399 b,K2-399,,6.049,,0.759978,5690.0,0.783,1.541,Transit,2022.0,,
133.7094899,11.8482712,327.783,K2-268 c,K2-268,696.0,2.69,,9.327527,5106.0,0.84,0.78,Transit,2018.0,,
172.560141,7.5878315,38.0266,K2-18 b,K2-18,,2.28,,32.9418,3496.0,0.42,0.4,Transit,2015.0,0.95,
339.9192984,-8.7145697,377.822,K2-74 b,K2-74,,2.95906745,,19.565557,5929.0,0.987182,1.086156,Transit,2016.0,,
198.8436817,-6.4649888,110.567,K2-198 c,K2-198,1229.9,1.423,,3.3596055,5212.9,0.799,0.757,Transit,2019.0,,
331.203092,-12.019067,264.78,WASP-47 d,WASP-47,,3.06,,9.0305419,5427.0,,0.86,Transit,2015.0,,
207.3497402,-12.2849182,116.474,K2-110 b,K2-110,,,,13.85870316,4936.0,0.811,0.71181,Transit,2017.0,,
172.3353708,-1.4551364,44.0727,K2-3 b,K2-3,,2.4,,10.054374,3927.0,,0.58,Transit,2015.0,,
129.7768928,19.0100046,308.105,K2-273 b,K2-273,849.0,3.05,,11.7195663,5161.0,0.89,0.85,Transit,2018.0,,
334.6227504,-9.6120084,66.4321,K2-72 d,K2-72,,0.73,,7.7599,3497.0,0.217,0.232,Transit,2016.0,3.5,
13.0800239,10.7947051,244.59,EPIC 220674823 b,EPIC 220674823,,1.46,,0.571308,5590.0,0.93,0.83,Transit,2016.0,,0.0
206.6522408,-11.8049588,694.734,K2-351 b,K2-351,,,,7.80651068,5739.0,1.03,1.03974,Transit,2021.0,,
245.4405531,-23.548273,110.527,K2-31 b,K2-31,,,,1.2578332,5340.0,0.922,1.02904,Transit,2016.0,,
252.426008,-19.5430504,157.682,K2-32 b,K2-32,769.0,5.38,,8.99218,5315.0,0.87,0.87,Transit,2016.0,82.9,
169.3034598,-1.8778254,202.943,K2-5 b,K2-5,,1.5,,5.73597,4021.0,0.52,0.462,Transit,2015.0,19.7,
244.1419684,-20.4005984,138.018,K2-53 b,K2-53,,2.47,,12.207632,4684.0,,0.72,Transit,2016.0,,
242.5613635,-19.3193831,139.268,K2-33 b,K2-33,,0.868,,5.4252061,2890.0,,0.16,Transit,2016.0,,
76.8673317,16.8676948,663.834,K2-260 b,K2-260,,,,2.62669768,6367.0,1.39,1.69,Transit,2018.0,,
157.9356855,0.9372782,77.5586,K2-266 c,K2-266,664.5,0.705,0.29013072,7.814,4285.0,0.686,0.703,Transit,2018.0,32.4,0.042
126.5535002,12.281851,413.591,K2-115 b,K2-115,,,,20.273017,5657.0,0.95,0.88,Transit,2017.0,,
334.6227504,-9.6120084,66.4321,K2-72 c,K2-72,,1.16,,15.189034,3360.47,0.271365,0.330989,Transit,2016.0,2.2,0.11
353.4175668,-7.6120272,285.162,K2-413 b,K2-413,,0.7599,,0.8094,4116.0,0.808,0.7,Transit,2022.0,921.755,
233.3698192,-16.7737113,76.1486,K2-286 b,K2-286,347.0,2.1,,27.359,3926.0,0.64,0.62,Transit,2018.0,,
