pl_name,pl_orbper,pl_rade,pl_bmasse,pl_eqt,hostname,st_teff,st_rad,st_mass,st_logg,discoverymethod,disc_year,disc_facility,pl_insol,pl_orbeccen,pl_nnotes
EPIC 220192485.01,50.69369,8.85,,,EPIC 220192485,,0.781,,,Transit,2018,K2,,,0
K2-151 b,3.835376,1.5,,,K2-151,,0.45,,,Transit,2018,K2,,,1
K2-369 b,5.7619248,1.37,,,K2-369,5350.0,0.83,,,Transit,2022,K2,,,0
K2-232 b,11.168459,11.859122,123.00021,1001.0,K2-232,5888.0,1.233,1.039,4.273,Transit,2018,K2,,0.255,1
EPIC 211946007.01,1.982809,,,,EPIC 211946007,3330.0,0.291,,4.958,Transit,2017,K2,,,1
K2-274 b,14.130142,2.41,,,K2-274,,0.794,,,Transit,2018,K2,,,0
EPIC 211946007.01,1.9828041248,10.89107018,,543.47,EPIC 211946007,3213.0,0.293047,,4.93347,Transit,2017,K2,20.617,,1
K2-283 b,1.921076,3.8,,,K2-283,,0.86,,,Transit,2018,K2,,,0
K2-381 b,7.939256,1.08322371,,,K2-381,4661.0,0.645652,,4.66,Transit,2022,K2,,,2
K2-381 c,16.034656,2.0,,,K2-381,4473.0,0.675,0.754,4.653,Transit,2022,K2,,,2
K2-277 b,6.3297696,,,,K2-277,5673.0,0.975383,1.008,4.46318,Transit,2018,K2,,,0
K2-73 b,7.49543,2.45,,,K2-73,5922.0,1.06,1.05,4.409,Transit,2016,K2,213.0,,1
K2-85 b,0.684557,1.37,,,K2-85,4376.21,0.675849,0.69834,,Transit,2016,K2,1069.1,0.24,0
K2-73 b,7.495,,,,K2-73,5865.0,1.05721,1.061,4.41546,Transit,2016,K2,,,1
K2-73 b,7.49491004,,,,K2-73,5865.0,1.05721,1.061,4.41546,Transit,2016,K2,,,1
K2-79 b,10.993948,3.14685573,,,K2-79,5839.0,1.038427,1.06195,4.41,Transit,2016,K2,,,0
K2-98 b,10.136,,,,K2-98,6283.0,1.50696,1.23,4.17177,Transit,2016,K2,,,0
K2-180 b,8.867259,4.4,,,K2-180,,0.65,,,Transit,2018,K2,,,1
HIP 41378 b,15.5712,2.9,,,HIP 41378,6199.0,1.4,1.15,4.18,Transit,2016,K2,,,0
HIP 41378 c,31.6978,2.56,,,HIP 41378,6199.0,1.4,1.15,4.18,Transit,2016,K2,,,0
WASP-75 b,2.4841976,,,,WASP-75,6100.0,1.26,1.14,4.29,Transit,2013,SuperWASP,,,1
K2-108 b,4.73360988,,,,K2-108,5496.0,1.75896,0.964,3.93163,Transit,2017,K2,,,0
K2-121 b,5.186,,,,K2-121,4664.8,0.649127,0.74,4.68264,Transit,2017,K2,,,0
EPIC 211945201 b,19.492132,6.0,,,EPIC 211945201,,1.48,,,Transit,2018,K2,,,0
K2-34 b,2.995633,13.96,,1559.0,K2-34,6071.0,1.44,1.15,4.18,Transit,2016,K2,,,0
K2-136 d,25.575065,1.45,,373.0,K2-136,4499.0,0.66,0.74,4.66,Transit,2017,K2,,0.14,6
K2-100 b,1.674,,,,K2-100,6115.49,1.21742,1.153,4.32901,Transit,2016,K2,,,2
K2-100 b,1.673847,3.6,,,K2-100,,1.23,,,Transit,2016,K2,,,2
K2-70 b,13.9782,2.69,,,K2-70,,0.783,,,Transit,2016,K2,,,0
K2-336 b,21.1976,1.33,,,K2-336,,0.7747,,,Transit,2021,K2,,,0
K2-68 b,8.05423,1.73,,,K2-68,,0.655,,,Transit,2016,K2,,,0
K2-123 b,30.953,,,,K2-123,3856.0,0.609039,0.595401,4.64359,Transit,2017,K2,,,0
K2-5 c,10.93406,1.92,,511.0,K2-5,4102.0,0.52,0.53,,Transit,2015,K2,,,1
EPIC 211537087.03,41.9,2.28,,82.0,K2-356,5568.0,0.86,0.9,4.52,Transit,2022,K2,,,0
K2-386 b,7.47331,2.74,,,K2-386,,1.012,,,Transit,2022,K2,,,0
K2-318 b,7.01,1.66,,456.0,K2-318,3851.0,0.552,0.561,4.701,Transit,2020,K2,,,0
K2-123 b,30.96028326,,,,K2-123,3856.0,0.609039,0.595401,4.64359,Transit,2017,K2,,,0
K2-237 b,2.18053332,16.06246934,434.15360396,1759.0,K2-237,6180.0,1.236,1.256,4.353,Transit,2018,K2,,0.03,1
K2-375 b,14.443,,,,K2-375,5826.08,1.54893,1.05,4.0792,Transit,2022,K2,,,0
K2-35 c,5.60906,1.69,,,K2-35,4426.0,0.601,0.663,4.697,Transit,2016,K2,42.0,,0
K2-123 b,30.954,3.07,,,K2-123,,0.637,,,Transit,2017,K2,,,0
EPIC 220674823 c,13.338687,2.8,,,EPIC 220674823,,0.97,,,Transit,2016,K2,,,3
EPIC 206061524.01,5.8796123,6.5,,,EPIC 206061524,4089.0,0.62,,,Transit,2016,K2,,,1
K2-39 b,4.6049829,1.67,,,K2-39,4843.0,0.74,,,Transit,2016,K2,,,1
EPIC 206061524.01,5.8797,,,,EPIC 206061524,4111.0,0.807445,0.643,4.43205,Transit,2016,K2,,,1
K2-39 b,4.6028,,,,K2-39,4911.0,3.12057,,,Transit,2016,K2,,,1
HATS-9 b,1.9153073,11.937585,266.02371,1823.0,HATS-9,5366.0,1.503,1.03,4.095,Transit,2015,HATSouth,,0.129,0
K2-39 b,4.60543,8.2,50.3,,K2-39,4881.0,3.88,1.53,3.44,Transit,2016,K2,,0.0,1
K2-39 b,4.60497,7.09,,,K2-39,4993.0,2.59,1.17,3.682,Transit,2016,K2,1148.0,,1
EPIC 206061524.01,5.87975,3.76,,,EPIC 206061524,4056.0,0.393,,4.883,Transit,2016,K2,,,1
EPIC 206061524.01,5.87913354,,,,EPIC 206061524,4111.0,0.807445,0.643,4.43205,Transit,2016,K2,,,1
K2-39 b,4.60497,5.71,39.8,1670.0,K2-39,4912.0,2.93,1.192,3.58,Transit,2016,K2,1356.0,0.152,1
HATS-9 b,1.915298,17.2,,,HATS-9,,1.94,,,Transit,2015,HATSouth,,,0
HATS-11 b,3.619192,10.2,,,HATS-11,,0.89,,,Transit,2016,HATSouth,,,0
HATS-12 b,3.14272,7.8,,,HATS-12,,1.22,,,Transit,2016,HATSouth,,,0
EPIC 219388192.01,5.29266,9.6,,,EPIC 219388192,,1.0,,,Transit,2018,K2,,,0
EPIC 218621322.01,11.587502,21.9,,,EPIC 218621322,,1.0,,,Transit,2018,K2,,,0
HATS-36 b,4.175187,13.4,,,HATS-36,,1.15,,,Transit,2018,HATSouth,,,1
HATS-36 b,4.1752387,13.843115,1022.14128,1356.0,HATS-36,6149.0,1.155,1.222,4.4,Transit,2018,HATSouth,561.0,0.105,1
HATS-9 b,1.915311,13.1414316,259.34928,,HATS-9,5494.0,1.58042,0.963,4.02415,Transit,2015,HATSouth,,,0
HATS-11 b,3.6191634,16.667783,263.7989,,HATS-11,5871.0,1.46198,1.06,4.13349,Transit,2016,HATSouth,,,0
HATS-12 b,3.1428347,15.513256,759.6137,,HATS-12,,,,,Transit,2016,HATSouth,,,0
HATS-12 b,3.142846,8.84505104,,,HATS-12,6235.0,1.29462,1.214365,4.22,Transit,2016,HATSouth,,,0
EPIC 219388192.01,5.292605,9.9778729,,,EPIC 219388192,5689.0,0.969695,,4.43,Transit,2018,K2,,,0
HATS-11 b,3.6191613,16.92559,270.1555,1637.0,HATS-11,6060.0,1.444,1.0,4.118,Transit,2016,HATSouth,,0.34,0
HATS-12 b,3.142833,15.13215,756.4354,2097.0,HATS-12,6408.0,2.21,1.489,3.923,Transit,2016,HATSouth,,0.085,0
K2-39 b,4.60543,6.27704,28.6047,,K2-39,4881.0,2.97,0.66,3.44,Transit,2016,K2,,0.0,1
HATS-36 b,4.175186,12.92,,1203.0,HATS-36,5950.0,1.1,1.1,4.4,Transit,2018,HATSouth,,,1
HATS-9 b,1.915291,13.85,,1746.0,HATS-9,5599.0,1.56,1.1,4.1,Transit,2015,HATSouth,,,0
HATS-11 b,3.619188,18.03,,1596.0,HATS-11,6563.0,1.54,1.33,4.19,Transit,2016,HATSouth,,,0
HATS-12 b,3.142702,7.76,,1446.0,HATS-12,6357.0,1.17,1.16,4.36,Transit,2016,HATSouth,,,0
HATS-9 b,1.9153073,11.937585,261.57409,,HATS-9,5366.0,1.503,1.03,,Transit,2015,HATSouth,,0.075,0
EPIC 214888033.01,7.457597,8.7,,,EPIC 214888033,,1.037,,,Transit,2019,K2,,,0
EPIC 216231580.01,3.90518,16.3,,,EPIC 216231580,,1.282,,,Transit,2019,K2,,,0
HATS-9 b,1.9153196,14.42,,,HATS-9,,1.592,,,Transit,2015,HATSouth,,,0
HATS-11 b,3.619167,17.7,,,HATS-11,,1.51,,,Transit,2016,HATSouth,,,0
HATS-36 b,4.175235,12.77,,,HATS-36,,1.0878,,,Transit,2018,HATSouth,,,1
HATS-12 b,3.142811,5.69,,,HATS-12,,0.822,,,Transit,2016,HATSouth,,,0
EPIC 219388192.01,5.292627,10.98,,,EPIC 219388192,,1.058,,,Transit,2018,K2,,,0
