pl_orbper,pl_rade,pl_eqt,st_teff,st_rad,st_logg,pl_insol
2.1805277,16.808853,1654.404068,6599.0,1.2714601,4.21017,1770.4650539
2.1846669,13.7028527,1549.4409801,5630.0,1.23824,4.37759,1362.1381428
3.7354838,21.2315,1670.0,6650.0,1.57,4.1639,1292.19
21.701669,2.3751494,685.2,5625.0,1.56486,4.438,52.095
9.139804,3.0629855,1006.9932829,5958.2,1.58,4.34,243.011763
5.742625,13.088532,,5664.0,3.86959,3.26574,
15.5077855,2.43432,853.0,6122.0,1.17,4.30881,88.0718
17.4713078,3.5766828,689.3568807,5783.54,0.974669,4.49925,53.3700317
5.3079507,3.0486928,1263.9861129,6124.3,1.36963,4.38,603.2401116
51.1701501,2.9366826,466.7322968,5599.0,0.943356,4.46138,11.2148229
11.1296441,12.8402271,1518.2372485,5785.0,3.4475601,4.344,1255.6817164
9.4496506,17.0216,694.0,5509.0,0.94,4.39758,38.5799
2.8493825,16.3869,1864.0,6900.0,1.77,4.438,2005.83
2.0685633,3.89739,619.0,5687.9,1.14,4.6,24.409
0.540933,2.28501,,5525.0,1.21935,4.25342,
4.1150576,2.30057,826.0,5394.0,0.89,4.50942,77.3573
10.0665238,2.7272824,694.1792631,5552.0,0.791742,4.61783,54.8791715
6.4438657,2.460344,712.2812841,4803.0,0.737189,4.52079,60.831305
12.2265595,2.6014766,575.3502049,4803.0,0.737189,4.52079,25.8970378
2.160344,22.503541,,5780.0,1.2,4.32928,
4.606184,12.962219,,5670.0,1.07,4.3925,
3.1316735,9.4995191,890.5622134,4351.0,0.76701,4.438,148.6544991
3.180362,13.446487,,5498.0,0.92,4.47934,
2.9776446,14.4339,1461.0,5703.0,1.22,4.25824,758.324
3.9502008,20.5357,1570.0,6153.0,1.71,4.18077,1009.38
2.9776152,26.88423,1386.5,5740.0,1.28,4.29219,873.27
3.5544026,13.200677,1214.9876435,5639.0,1.11499,4.37172,515.0014435
12.8379689,25.4886382,1225.0,5765.0,2.4494,4.34773,374.129
3.9228016,13.3368705,788.0973496,4444.0,0.6983,4.438,91.167589
13.9428705,2.4233421,587.1759148,5206.0,0.741671,4.63095,28.0927293
0.6047392,1.8625587,1222.5973095,4046.0,0.580337,4.60963,528.0253155
2.5495611,12.9171288,1337.8645148,5659.0,1.03997,4.44653,757.1284067
1.6062693,12.6436029,1374.8018137,5192.0,0.984326,4.4617,844.2700581
0.5182425,1.3485121,1019.3295979,3325.0,0.390989,4.88693,255.1405815
